"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
"1","24816898","凱銳控股股份有限公司","臺北市內湖區陽光街300號7樓之2","林傳凱","835040000","1080319"
"2","29187594","長遠科技有限公司","高雄市前鎮區復興四路10號5樓之3","洪佩欣","1000000","1080306"
"3","42932531","上宸建設有限公司","臺南市七股區大埕里大埕202號之16一樓","魏采羚","1000000","1080225"
"4","42932666","恆禾投資股份有限公司","臺南市麻豆區磚子井84號","王名揚","28000000","1080304"
"5","42932722","東聖生技有限公司","臺南市永康區北興里北興路153號1樓","林秋眞","3000000","1080227"
"6","42932737","文凊投資有限公司","臺南市安南區東和里館前二路57號1樓","鄭文彰","3000000","1080227"
"7","42932743","綠理工程有限公司","臺南市中西區民生路二段307號21樓之1","林靖淳","2000000","1080227"
"8","42932758","湧運實業股份有限公司","臺南市佳里區佳化里佳里興217之17號1樓","李秉樺","100000","1080305"
"9","42932770","正興健康有限公司","臺南市南區金華里尊南街229號1樓","柯怡存","500000","1080304"
"10","42932785","尚宏開發有限公司","臺南市安南區城北里安中路六段476號","郭懿萱","100000","1080304"
"11","42932791","一件設計有限公司","臺南市歸仁區南保里文化七街26號四樓","曾國展","100000","1080304"
"12","42932808","昭兒遊戲股份有限公司","臺南市歸仁區許厝里中山路一段505號1樓","廖晨溱","500000","1080304"
"13","42932814","窩在家物業管理顧問有限公司","臺南市東區大同路一段195號1樓","陳貽隆","60000","1080304"
"14","42932820","雙志世代國際有限公司","臺南市永康區塩洲里塩行路239-12號","戴良志","60000","1080304"
"15","42932835","茂倫有限公司","臺南市仁德區中正路一段385巷6之1號1樓","蘇仁南","300000","1080304"
"16","42932841","鳳鳴資產股份有限公司","臺南市北區大光里北門路2段547巷78弄8號1樓","方巃瑋","1000000","1080304"
"17","42932856","創悅科技有限公司","臺南市新化區豐榮里信義路484巷24之2號5樓之1","陳怡蒨","305000","1080304"
"18","42932862","岳宥國際設備工程有限公司","臺南市歸仁區歸南里民生八街28巷1弄61號1樓","施宥慈","600000","1080304"
"19","42932878","百邑有限公司","臺南市新營區嘉芳里嘉芳街28巷49號1樓","周恬卉","6000000","1080304"
"20","42932883","咖法邦國際股份有限公司","臺南市新市區華興街72巷20號","宋鈺","1550000","1080304"
"21","42932899","長欣種苗股份有限公司","臺南市永康區尚頂里中正南路３２７號","賴建興","200000","1080304"
"22","42932906","誠陽能源科技有限公司","臺南市安南區安慶里安中路一段130巷2號1樓","陳威全","1000000","1080304"
"23","42932912","諾昂有限公司","臺南市東區崇成里崇德十五街77號4樓","蔡佩芸","100000","1080305"
"24","42932928","杉瀛資產管理有限公司","臺南市新營區忠政里府西路56號1樓","蔡明修","100000","1080305"
"25","42932933","羿紘升文創設計有限公司","臺南市安南區頂安里長溪路一段407巷16弄5號1樓","陳羿寰","500000","1080305"
"26","42932949","展乾有限公司","臺南市北區六甲里西門路四段330巷36號","董厚顯","500000","1080305"
"27","42932954","台陞蝕刻股份有限公司","臺南市善化區小新里小新營318之20號","李友詠","5000000","1080306"
"28","42932960","特械五金有限公司","臺南市佳里區營溪里營頂37之1號1樓","莊閔臣","1000000","1080305"
"29","42932976","世錦文化藝術股份有限公司","臺南市永康區塩洲里正南六街105巷5號","蕭登波","500000","1080306"
"30","42932981","洪大豐餐飲事業有限公司","臺南市新營區三興街205巷56號1樓","林胤權","150000","1080305"
"31","42932997","喬治博克斯顧問有限公司","臺南市東區關聖里裕平一街87號1樓","朱正國","1000000","1080306"
"32","42933004","福得建材有限公司","臺南市北區大港里大興街528巷13弄46號1樓","林育弘","250000","1080306"
"33","42933010","昇浤有限公司","臺南市南區文南里新樂路1之17號1樓","黃癸棠","1000000","1080306"
"34","42933026","華德興建設有限公司","臺南市安南區北安路四段６０９號一樓","吳清發","18000000","1080306"
"35","42933031","倍比柯霖有限公司","臺南市永康區南台街1號","林傳翰","3000","1080305"
"36","42933047","凱葳興業有限公司","臺南市安南區佃西里海佃路四段三八八巷六七弄一三號一樓","許小葳","200000","1080305"
"37","42933052","易芽有限公司","臺南市東區崇成里崇明二十四街65號1樓","楊政潢","2000000","1080306"
"38","42933068","向宏科技有限公司","臺南市安南區原佃里本原街一段76巷5號一樓","楊聰賢","1000000","1080306"
"39","42933074","探索者運動開發有限公司","臺南市仁德區仁德里文善街35號1樓","陳天利","1000000","1080307"
"40","42933089","墨生人設計有限公司","臺南市永康區南台街1號","周家民","3000","1080307"
"41","42933095","宬豪工程有限公司","臺南市安平區建平八街551號11樓之1","陳俊益","100000","1080307"
"42","42933102","飛映視覺有限公司","臺南市永康區復華里復華七街32巷35號6樓之1","黃威然","2000000","1080307"
"43","42933118","醫楨有限公司","臺南市北區大港里大和路261號二樓","黃素梅","100000","1080306"
"44","42933124","熟味有限公司","臺南市東區東和路30號","李明鴻","500000","1080307"
"45","42933139","全盛發建設有限公司","臺南市新化區全興里竹子脚188之28號1樓","梁三和","100000","1080307"
"46","42933145","富士虹精密有限公司","臺南市北區大和里文賢路６２７巷２號一樓","邱馨慧","5000000","1080307"
"47","42933150","森之星生技有限公司","臺南市北區延平里公園路824巷23號1樓","林正源","1000000","1080308"
"48","42933166","新煜鵬投資股份有限公司","臺南市中西區三合里康樂街375號","侯博明","10000000","1080307"
"49","42933172","及智有限公司","臺南市永康區南台街1號","許庭瑋","1000","1080308"
"50","42933187","優家行銷有限公司","臺南市安平區文平里文平路240號一樓","章興宜","4000000","1080307"
"51","42933193","承達實業有限公司","臺南市北區成德里西門路四段367號11樓","楊俊哲","100000","1080307"
"52","42933200","竣達國際有限公司","臺南市東區裕和五街181號一樓","李昱錩","100000","1080307"
"53","42933216","八豐機械有限公司","臺南市仁德區新田里勝利路267號","陳宥薰","1000000","1080307"
"54","42933222","汎雲投資有限公司","臺南市北區大港里大興街162號1樓","張汎勛","2000000","1080308"
"55","42933237","康閎實業有限公司","臺南市東區裕農里裕農路375號7樓之1","顏淑芬","500000","1080308"
"56","42933243","台灣布盧菲爾再生綠能有限公司","臺南市安平區育平里育平路66號9樓之5","吳千妙","5000000","1080308"
"57","42933258","浤大自動化科技有限公司","臺南市永康區北灣里大同街8巷15號1樓","謝宗熹","1500000","1080308"
"58","42933264","築夢人有限公司","臺南市永康區南台街1號","劉軒圻","1000","1080311"
"59","42933270","君典科技有限公司","臺南市安平區育平九街192巷96號1樓","歐怡君","1000000","1080308"
"60","42933285","布里客股份有限公司","臺南市永康區塩行里新中街128號","黃啓輝","3600000","1080308"
"61","42933291","盈邦建設有限公司","臺南市東區東明里東安路48巷5號1樓","許紀男","4000000","1080308"
"62","42933308","東盈建材有限公司","臺南市善化區溪美里溪尾113之10號","蔡裕鍾","1000000","1080312"
"63","42933314","優憶有限公司","臺南市東區中華東路一段223號","吳玖憶","300000","1080308"
"64","42933320","貳貨有限公司","臺南市永康區南台街1號","蔡岳靖","1000","1080308"
"65","42933335","金豪益建材股份有限公司","臺南市南區田寮里西門路一段347號二樓","蔡爵全","3000000","1080308"
"66","42933341","富盛源國際貿易有限公司","臺南市南區明亮里新都路３７２號一樓","李正寬","500000","1080308"
"67","42933356","台駿投資有限公司","臺南市東區中華東路三段379號19樓之2","黃麗英","5000000","1080308"
