"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
"1","28114601","肽睿生技股份有限公司","新竹縣竹北市生一路二段2號1樓A103","沈三泰","10000000","1080621"
"2","29187659","凱業晶振科技股份有限公司","臺中市潭子區潭秀里南二路14號","尤爾根萊赫曼","1000000","1080628"
"3","42938726","通天生物科技有限公司","臺南市東區中西里勝利路20之36號1樓","郭惠慈","500000","1080618"
"4","42938731","佳安科技股份有限公司","臺南市仁德區新田里新田二街1號1樓","吳榮彬","10000000","1080619"
"5","42938747","世昕建設股份有限公司","臺南市東區泉南里長榮路一段181號6樓","汪世堯","20000000","1080618"
"6","42938752","昀長生醫科技有限公司","臺南市永康區東橋里東橋七路201號11樓之7","方陳秀鳳","3000000","1080618"
"7","42938768","永福生物科技股份有限公司","臺南市安平區永華路二段932號17樓","林再興","1000000","1080619"
"8","42938774","恆節能源科技有限公司","臺南市佳里區民安里同安寮81之25號","陳泳榛","30000","1080620"
"9","42938789","竹安生技有限公司","臺南市仁德區後壁里德善路251巷2號7樓之2","徐國霖","1200000","1080619"
"10","42938795","智捷塑膠材料有限公司","臺南市新市區復興路62巷26號1樓","吳嘉元","2000000","1080613"
"11","42938802","固得好防水有限公司","臺南市東區龍山里長榮路一段256號10樓之7","王知恩","100000","1080619"
"12","42938818","台灣夢想服務股份有限公司","臺南市安南區開安二街67號","劉庭墉","3000000","1080619"
"13","42938824","貝律建設股份有限公司","臺南市北區育德路221巷46號1樓","黃建中","15000000","1080619"
"14","42938839","福鑫達有限公司","臺南市永康區大同街53號","蘇良宇","100000","1080619"
"15","42938845","一之順生技有限公司","臺南市柳營區果毅里果毅後55號","李姿儀","400000","1080621"
"16","42938850","晟屋建設有限公司","臺南市麻豆區晋江里民權路61之7號1樓","陳佳卉","500000","1080621"
"17","42938866","質森活國際有限公司","臺南市仁德區太子里太子路689巷9號1樓","楊俊亭","1000000","1080620"
"18","42938872","升陽科技有限公司","臺南市永康區復華里國華街102巷127號1樓","潘淑秀","2000000","1080619"
"19","42938887","昶序設計室內裝修有限公司","臺南市東區德光里崇學路165號7樓","梁世偉","300000","1080619"
"20","42938893","惠丞國際企業股份有限公司","臺南市安平區國平里華平路146-5號2樓","簡廷恩","25000000","1080619"
"21","42938900","君冠生醫有限公司","臺南市新化區全興里竹子腳247之158號1樓","黃何興","300000","1080619"
"22","42938916","台灣英特姆精密機電股份有限公司","臺南市永康區永科南路159號","楊添仰","4000000","1080620"
"23","50907633","有喜創意國際有限公司","臺北市大安區安和路2段92號B1樓","林阿銀","1000000","1080617"
"24","50907649","悅基生醫有限公司","臺北市北投區石牌路2段315巷39號10樓","宋碧琳","600000","1080617"
"25","50923211","麗園興業有限公司","桃園市中壢區中山里榮民路470巷36弄40號(1樓)","陳鳳英","6000000","1080531"
"26","50923280","荃欣有限公司","桃園市蘆竹區海湖東路315-2號","劉冠逸","5000000","1080603"
"27","50923319","萌輝有限公司","桃園市中壢區月眉里圓光路一段559號(1樓)","邱玲玲","1000000","1080531"
"28","50923330","何倫有限公司","桃園市桃園區同德十街20巷9號(1樓)","何倫","1000000","1080531"
"29","50923351","暟風工程有限公司","桃園市楊梅區楊梅里大模街23號(1樓)","陳琬琪","2000000","1080531"
"30","50923367","圓滾滾創意有限公司","桃園市桃園區中平里宏昌六街156號20樓","張文馨","50000","1080531"
"31","50923394","巴登企業有限公司","桃園市八德區仁德一路45號13樓","林金明","500000","1080531"
"32","50923417","相信科技工程有限公司","桃園市蘆竹區錦中里南崁路一段83號18樓之2","張秀慧","6000000","1080603"
"33","50923423","順芳有限公司","桃園市平鎮區復旦里民族路二段267號(1樓)","彭桂瓊","500000","1080603"
"34","50923438","派大鮮水產有限公司","桃園市中壢區興國里元化路二段27號(1樓)","陳盈安","3000000","1080603"
"35","50923459","天晶生技有限公司","桃園市中壢區月眉路三段409巷38號","湯采菁","112268","1080603"
"36","50923465","信展科技有限公司","桃園市中壢區忠義里中華路一段743巷38弄32號(1樓)","游尚諭","1000000","1080603"
"37","50923471","印度咖哩王有限公司","桃園市桃園區中埔二街188號(一樓)","簡筱如","550000","1080603"
"38","50923486","宇太印刷有限公司","桃園市桃園區中原里宏昌十二街88號","許智銘","1000000","1080603"
"39","50923492","寶緯國際有限公司","桃園市桃園區中埔一街88巷60號六樓","葉宥騰","300000","1080603"
"40","50923508","富田綠能有限公司","桃園市大園區民生路107號","朱錦榮","5000000","1080603"
"41","50923514","冠盈資訊軟體有限公司","桃園市桃園區春日路1314巷25號","呂偉民","2000000","1080603"
"42","50923520","臺爾佳科技有限公司","桃園市龜山區楓福里楓樹路60號","呂宗憲","5000000","1080603"
"43","50923541","吉歆有限公司","桃園市平鎮區北興里正義路81巷4弄43號","林吉法","500000","1080604"
"44","50923556","丰嵐國際設計有限公司","桃園市蘆竹區瓦窯里南山路一段153號四樓之1","黃柏嵐","1000000","1080604"
"45","50923562","果語有限公司","桃園市桃園區武陵里復興路83號3樓之16","陳建宏","500000","1080604"
"46","50923578","皇睿實業有限公司","桃園市中壢區立德街56之3號5樓","范紫筠","1000000","1080604"
"47","50923583","聯鴻智能股份有限公司","桃園市桃園區南門里復興路362巷39之2號(3樓)","林慧美","4000000","1080604"
"48","50923599","富御貿易有限公司","桃園市八德區大同里福國北街60巷16號","謝明輝","400000","1080604"
"49","50923606","地能環保顧問工業有限公司","桃園市桃園區同安里藝文一街86之1號12樓","林麗鳳","1000000","1080604"
"50","50923612","鍇斯特有限公司","桃園市大園區南港里文興街111之2號2樓","林之汶","1000000","1080604"
"51","50923628","懶得清股份有限公司","桃園市龍潭區渴望路185號3樓之2","余鑒洋","500000","1080604"
"52","50923633","漢陽科技股份有限公司","桃園市蘆竹區上興里中興路100巷12號","洪文宗","10000000","1080604"
"53","50923649","萌香咖啡有限公司","桃園市大園區大園里中山南路233號(1樓)","許世奇","500000","1080604"
"54","50923654","鉑駿數位有限公司","桃園市龜山區迴龍里萬壽路一段161號15樓之3","林顯圳","300000","1080604"
"55","50923660","歐坦國際有限公司","桃園市觀音區草漯里福二街38號","謝詹春嬌","1000000","1080605"
"56","50923676","瑞凰國際實業有限公司","桃園市大園區三和路27巷2弄8號","黃育慧","1000000","1080605"
"57","50923681","鑫泰電機有限公司","桃園市龍潭區中興路九龍段50巷79號","楊春時","2000000","1080605"
"58","50923697","海皇國際開發有限公司","桃園市蘆竹區南崁路一段83號18樓之4","王柏萱","3000000","1080605"
"59","50923704","美麗一生有限公司","桃園市桃園區慈光街101巷35號8樓","王春陽","50000","1080605"
"60","50923710","杰銳汽車影音多媒體有限公司","桃園市八德區茄明里中華路82號(1樓)","周姿靜","800000","1080605"
"61","50923726","冠和有限公司","桃園市蘆竹區中福里文中路一段119巷3之4號","鄭榮蘭","1000000","1080605"
"62","50923731","統銓實業有限公司","桃園市蘆竹區長安路二段116號","簡素玲","500000","1080605"
"63","50923747","啟飛創意設計有限公司","桃園市龜山區明德路241號5樓之6","蔡向琪","500000","1080605"
"64","50923752","花陽科技有限公司","桃園市平鎮區雙連里民族路雙連二段113巷12之1號(1樓)","吳素花","1000000","1080605"
"65","50923768","昱諦國際貿易有限公司","桃園市中壢區東興里中北路二段117號8樓之2","蕭沛津","50000","1080605"
"66","50923774","祥程建設開發有限公司","桃園市中壢區復華里復華一街61號(1樓)","莊程發","1000000","1080605"
