"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
"1","24817398","農金資訊股份有限公司","新北市板橋區縣民大道1段291號6樓、7樓及8樓","文景仁","550000000","1080401"
"2","24817799","永翔國際開發股份有限公司","臺南市左鎮區菜寮148-1號","吳丁財","620000000","1080415"
"3","24817881","彰銀創業投資股份有限公司","臺北市中山區中山北路2段57號8樓","王洪綱","600000000","1080417"
"4","29183252","台灣諾恩美生技股份有限公司","臺中市大雅區科雅路六號","褚顯仁","6000000","1080416"
"5","42934849","東風工程有限公司","臺南市安定區港口里港口356之2號1樓","林士榮","1000000","1080329"
"6","42934860","詮松企業有限公司","臺南市安定區港口里港口356之2號1樓","林隆盛","1000000","1080329"
"7","42934952","伯岑有限公司","臺南市東區崇善路1089巷35號二樓","吳育承","2000000","1080328"
"8","42934974","秋雨思室內裝修股份有限公司","臺南市北區自強街96號","陳韋辰","1000000","1080328"
"9","42934995","優生活實業股份有限公司","臺南市東區小東路423巷2之2號1樓","林怡弘","5000000","1080329"
"10","42935002","尚詠勝有限公司","臺南市新市區大社501之5號","陳惠慈","300000","1080401"
"11","42935024","峰丞室內裝修設計有限公司","臺南市善化區西衛5之15號1樓","黃嘉偉","600000","1080401"
"12","42935039","台灣有鹿有限公司","臺南市中西區藥王里濟生街28號一樓","黃郁珊","1700000","1080328"
"13","42935087","登豐食品有限公司","臺南市北區成德里文成一路81號二樓","廖文綺","2250000","1080401"
"14","42935093","喜禾國際有限公司","臺南市安平區怡平里建平十一街332之1號1樓","何鈺瑶","1000000","1080401"
"15","42935100","金華電機工程有限公司","臺南市仁德區保安里保學路69號一樓","陳谷航","1000000","1080329"
"16","42935116","超值國際有限公司","臺南市北區西門路四段507巷11號二樓","鍾慧遠","1000000","1080329"
"17","42935137","安正金屬有限公司","臺南市安南區頂安里北安路三段396巷16弄1號2樓","王盟安","2000000","1080401"
"18","42935143","嘉園旅店有限公司","臺南市北區公園里成功路５４號11樓","白佩嘉","1000000","1080329"
"19","42935158","盛選投資股份有限公司","臺南市中西區健康路一段50巷47號一樓","蔡憲國","9200000","1080401"
"20","42935164","喜安企業有限公司","臺南市永康區東橋里東橋七路203號1樓","鄭晴予","500000","1080401"
"21","42935170","硯辰企業有限公司","臺南市安南區東和里環館三路３號１樓","蕭桐生","2000000","1080401"
"22","42935185","東佳醫療器材有限公司","臺南市東區德光里崇學路165號七樓","吳東平","100000","1080401"
"23","42935191","長汯資訊有限公司","臺南市永康區五王里五福街170號1樓","歐怡君","600000","1080401"
"24","42935208","科原貿易有限公司","臺南市永康區大同街69號4樓之2","曾俊士","500000","1080402"
"25","42935214","統舜機械有限公司","臺南市仁德區太子里長興路87巷26號1樓","張勝舜","500000","1080402"
"26","42935220","鴻羅能源股份有限公司","臺南市北區和緯路三段214號5樓","洪煜昌","1200000","1080402"
"27","42935235","鴻工能源股份有限公司","臺南市北區和緯路三段214號5樓","洪煜昌","1200000","1080402"
"28","42935241","川宇有限公司","臺南市永康區國光八街11巷9號六樓","林冠豪","500000","1080401"
"29","42935256","美立芳生技國際有限公司","臺南市新營區護鎮里建國路287號1樓","洪瑋廷","500000","1080402"
"30","42935262","華盛興股份有限公司","臺南市麻豆區海埔里海埔22之5號","李重毅","1000000","1080402"
"31","42935278","新福綠地農業科技有限公司","臺南市鹽水區水秀里土庫6之4號1樓","楊湘楨","1500000","1080403"
"32","42935283","博熊俗實業有限公司","臺南市南區國宅里新興路466號1樓","王博民","600000","1080402"
"33","42935299","溋隆機械有限公司","臺南市安南區梅花里安中路一段703巷59之2號1樓","劉奕祥","100000","1080403"
"34","42935306","鴻璟能源股份有限公司","臺南市北區和緯路三段214號五樓","洪煜昌","1200000","1080402"
"35","42935312","米拉之家有限公司","臺南市永康區塩洲里正南八街38號","張信雄","1000000","1080403"
"36","42935328","德源成興業有限公司","臺南市善化區文昌里中正路88號","高敏娟","2000000","1080408"
"37","42935333","新勵鋼金屬有限公司","臺南市官田區渡頭里三塊厝12之10號1樓","","500000","1080408"
"38","42935349","秝新股份有限公司","臺南市左鎮區光和里1之2號","林裔桀","3600000","1080408"
"39","42935354","煋邑物業管理顧問有限公司","臺南市中西區友愛街278號1樓","林麗珠","300000","1080402"
"40","42935360","庭嘉建設有限公司","臺南市安南區新順里安生街2號一樓","謝承衛","1000000","1080402"
"41","42935376","風華建設股份有限公司","臺南市安平區平通里慶平路559號11樓","薛若薇","15000000","1080403"
"42","42935381","鑫光國際企業有限公司","臺南市永康區塩洲里國聖街216號","楊中豪","1500000","1080403"
"43","42935397","妃鉑貿易有限公司","臺南市永康區建國里復興路51號一樓","余欣茹","10000000","1080403"
"44","42935404","永康電池有限公司","臺南市永康區中山南路746號2樓","葉淑芬","100000","1080403"
"45","42935410","士鋐環保有限公司","臺南市東區大智里崇善十六街889號一樓","張硯農","2000000","1080403"
"46","42935426","華通金屬科技有限公司","臺南市永康區正南ㄧ街１２９巷３８弄２號","王正良","200000","1080403"
"47","42935431","熔岩光電材料有限公司","臺南市東區東寧路46號12樓","譚祖榮","500000","1080403"
"48","42935452","詠晟建材國際有限公司","臺南市佳里區南勢里四維一街73號1樓","莊婷婷","1000000","1080409"
"49","42935468","吉馨實業股份有限公司","臺南市永康區勝利里中華路1-63號","林志宏","10000000","1080403"
"50","42935474","鍇騰科技有限公司","臺南市中西區西湖里頂美三街１６６號十六樓之一","賴思蒨","1500000","1080403"
"51","42935489","其古力科技有限公司","臺南市仁德區後壁里德洋路205巷18號一樓","戴奇文","1000000","1080403"
"52","42935495","超邑整合執行有限公司","臺南市仁德區太子里26鄰長興五街１４巷９弄１５號","黃禹勳","200000","1080403"
"53","42935501","彩雲天科技有限公司","臺南市東區崇文里生產路297巷30號","朱惠宗","270000","1080409"
"54","42935517","吉瑪森數位有限公司","臺南市安平區平通里建平八街551號13樓之10","黃譯蔓","1000000","1080408"
"55","42935523","承恩鋁業股份有限公司","臺南市仁德區開發六路10號","羅崇仁","500000","1080408"
"56","42935538","南益事業有限公司","臺南市中西區藥王里民權路三段１４３巷２８號一樓","郭永明","4000000","1080408"
"57","42935559","神農甜品股份有限公司","臺南市中西區藥王里神農街86、88號一樓","蕭振輝","3500000","1080408"
"58","42935565","普羅拜爾生技材料有限公司","臺南市新營區民榮里復興路305巷12弄1號1樓","蔡坤育","200000","1080408"
"59","42935571","頂誠機電工程有限公司","臺南市新化區山脚里頂山脚54號之167","余俊明","5000000","1080408"
"60","42935586","台信房屋有限公司","臺南市新營區新北里金華路二段141號2樓","蘇育賢","500000","1080408"
"61","42935592","益群精密零件有限公司","臺南市中西區西湖里湖美二街32巷2號1樓","李怡萱","5000000","1080409"
"62","42935609","夢想啟程有限公司","臺南市佳里區佳里興15之36號","陳文龍","2000000","1080410"
"63","42935615","宏軍機械有限公司","臺南市歸仁區大廟里保吉路106號一樓","林南麒","1000000","1080409"
"64","42935621","上儀企業有限公司","臺南市歸仁區辜厝里民族南街93巷35號一樓","吳念蓁","500000","1080409"
"65","42935636","群豐企業有限公司","臺南市永康區中興里22鄰中華路198之3號5樓","林皇坤","1000000","1080409"
